TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
26,2,FL23,42,34,68,15.25,28.72093023,13.57881933,3.098091046,5.853464697,1.389611795,1.941220495,43,1.16375
26,2,FL23,36,31,91,13.625,32.32638889,14.95565222,3.123563659,6.33472438,1.403004988,2.035097245,36,1.34
27,1,GH22,45,42,77,16.75,39.82905983,15.18825105,3.581453615,5.824106565,1.254145993,1.629342208,29.25,1.0975
27,2,GH22,49,38,100,17.5,46.75977654,17.42222272,3.808744205,6.225429246,1.251208247,1.642673366,44.75,1.6075
27,3,GH22,49,50,97,17.75,52.05479452,18.83189289,3.971157465,6.399427998,1.23961471,1.617131332,36.5,1.8875
27,1,FL22,41,31,,,,,,,,,,
27,2,FL22,41,35,,,,,,,,,,
27,1,GH23,42,29,86,18.25,40.25380711,16.02587238,3.492878533,6.211255474,1.304958625,1.790142791,49.25,2.3475
27,2,GH23,43,31,82,16.75,44.72636816,17.19052362,3.611236919,6.445532903,1.414017187,1.899580218,50.25,1.9075
27,1,FL23,39,36,101.6666667,14.25,35.57632399,16.20731528,3.425125,6.273751775,1.340054957,1.861402382,40.125,1.46875
27,2,FL23,40,38,97.33333333,13.75,38.01346801,15.78323402,3.5162133,6.339046653,1.302622248,1.794113188,37.125,1.2625
28,1,GH22,48,39,88,17.5,43.57723577,16.99325875,3.589363465,6.553875226,1.331440523,1.837343992,30.75,1.495
28,2,GH22,45,31,100,18,45.61643836,18.13291455,3.644100721,6.973108652,1.369389883,1.928420855,36.5,2.3675
28,3,GH22,49,43,92,18,50.47619048,19.43347736,3.780400207,7.086413424,1.34199772,1.884896647,36.75,2.455
28,1,FL22,41,24,,,,,,,,,,
28,2,FL22,41,29,,,,,,,,,,
28,1,GH23,46,33,75,18.25,37.93296089,14.510758,3.413883558,5.768253793,1.274778978,1.698371365,44.75,0.745
28,2,GH23,42,33,68,17,40.26548673,14.98858451,3.507912098,5.814114478,1.260978408,1.668931372,28.25,1.9275
28,1,FL23,41,37,97,14.125,1.829652997,17.00231621,3.357316176,6.774751796,1.401347108,2.012376038,39.625,1.735
28,2,FL23,41,37,93,14.5,38.45454545,16.31665039,3.41932794,6.677221113,1.400879983,2.010895104,41.25,1.70875
29,1,GH22,40,37,67,16,44.03846154,16.80097324,3.585084281,6.36306916,1.303915415,1.786182792,39,0.9025
29,2,GH22,42,40,69,17.5,47.62589928,17.93053094,3.895356221,6.237595885,1.245375345,1.608710755,34.75,1.2425
29,3,GH22,43,48,80,17.25,50.13157895,18.66902072,3.801761096,6.663251757,1.290918863,1.766059917,38,1.8325
29,1,FL22,36,25,,,,,,,,,,
29,2,FL22,35,25,,,,,,,,,,
29,1,GH23,40,39,89,16.75,40.30769231,15.48020851,3.438754691,6.066230278,1.297499311,1.770250008,32.5,1.3475
29,2,GH23,38,36,86,14.75,44.44444444,17.49386866,3.541632069,6.62904476,1.334405796,1.882212976,33.75,1.6325
29,1,FL23,36,37,77.66666667,14.25,34.54545455,15.38838747,3.283696623,6.363819906,1.397378474,1.992211839,55,1.36125
29,2,FL23,36,40,72.33333333,15.25,34.92537313,15.5452522,3.292637501,6.425717202,1.388048056,1.967873128,58.625,1.34375
30,1,GH22,46,37,65,15.75,47.47252747,16.52136022,3.664287827,6.072523315,1.265083876,1.663641765,22.75,1.665
30,2,GH22,43,29,72,16.25,46.28099174,16.82034125,3.686533673,6.161547099,1.273061929,1.681559719,30.25,1.94
30,3,GH22,42,35,89,16.75,45.45454545,17.75337817,3.67557045,6.483749583,1.300549507,1.775213754,38.5,2.0325
30,1,FL22,40,27,,,,,,,,,,
30,2,FL22,39,27,,,,,,,,,,
